Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
10,0,0,0,0
20,0,0,0,0
30,15,0,0,0
40,16,0,0,0
50,16,0,0,0
60,17,0,0,0
70,19,0,0,0
80,20,0,0,0
90,20,0,0,0
100,21,0,0,0
110,20,0,0,0
120,21,0,0,0
130,22,0,0,0
140,21,0,0,0
150,21,0,0,0
160,21,0,0,0
170,22,0,0,0
180,22,0,0,0
190,21,0,0,0
200,22,0,0,0
210,21,0,0,0
220,20,0,0,0
230,20,0,0,0
240,21,0,0,0
250,22,0,0,0
260,21,0,0,0
270,22,0,0,0
280,23,0,0,0
290,23,0,0,0
300,23,0,0,0
310,23,0,0,0
320,22,0,0,0
330,22,0,0,0
340,22,0,0,0
350,23,0,0,0
360,23,0,0,0
370,22,0,0,0
380,22,0,0,0
390,22,0,0,0
400,22,0,0,0
410,22,0,0,0
420,25,0,0,0
430,25,0,0,0
440,25,0,0,0
